Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-07-30 10:23,Foam Rolling,1,1,0,10:00,600 sec,,
2013-07-30 10:23,Squat,2,1,0,135 lbs x 5 reps,,135 lbs,5
2013-07-30 10:23,Squat,2,2,0,185 lbs x 5 reps,,185 lbs,5
2013-07-30 10:23,Squat,2,3,0,215 lbs x 3 reps,,215 lbs,3
2013-07-30 10:23,Squat,2,4,0,215 lbs x 3 reps,,215 lbs,3
2013-07-30 10:23,Squat,2,5,0,215 lbs x 3 reps,,215 lbs,3
2013-07-30 10:23,Bench Press,3,1,0,95 lbs x 5 reps,,95 lbs,5
2013-07-30 10:23,Bench Press,3,2,0,135 lbs x 5 reps,,135 lbs,5
2013-07-30 10:23,Bench Press,3,3,0,155 lbs x 3 reps,,155 lbs,3
2013-07-30 10:23,Bench Press,3,4,0,155 lbs x 3 reps,,155 lbs,3
2013-07-30 10:23,Bench Press,3,5,0,155 lbs x 3 reps,,155 lbs,3
