Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-01-17 09:32,Bench Press,1,1,0,85 lbs x 5 reps,85 lbs,5
2014-01-17 09:32,Bench Press,1,2,0,105 lbs x 5 reps,105 lbs,5
2014-01-17 09:32,Bench Press,1,3,0,125 lbs x 3 reps,125 lbs,3
2014-01-17 09:32,Bench Press,1,4,0,155 lbs x 5 reps,155 lbs,5
2014-01-17 09:32,Bench Press,1,5,0,175 lbs x 3 reps,175 lbs,3
2014-01-17 09:32,Bench Press,1,6,0,195 lbs x 6 reps,195 lbs,6
2014-01-17 09:32,Weighted Dip,2,1,0,35 lbs x 5 reps,35 lbs,5
2014-01-17 09:32,Weighted Dip,2,2,0,35 lbs x 5 reps,35 lbs,5
2014-01-17 09:32,Weighted Dip,2,3,0,35 lbs x 5 reps,35 lbs,5
2014-01-17 09:32,Weighted Dip,2,4,0,35 lbs x 5 reps,35 lbs,5
2014-01-17 09:32,Dumbbell Row,3,1,0,75 lbs x 9 reps,75 lbs,9
2014-01-17 09:32,Dumbbell Row,3,2,0,75 lbs x 9 reps,75 lbs,9
2014-01-17 09:32,Dumbbell Row,3,3,0,75 lbs x 9 reps,75 lbs,9
2014-01-17 09:32,Dumbbell Row,3,4,0,75 lbs x 9 reps,75 lbs,9
