Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2014-01-07 09:02,Overhead Press,1,1,0,60 lbs x 5 reps,60 lbs,5
2014-01-07 09:02,Overhead Press,1,2,0,75 lbs x 5 reps,75 lbs,5
2014-01-07 09:02,Overhead Press,1,3,0,90 lbs x 3 reps,90 lbs,3
2014-01-07 09:02,Overhead Press,1,4,0,105 lbs x 3 reps,105 lbs,3
2014-01-07 09:02,Overhead Press,1,5,0,120 lbs x 3 reps,120 lbs,3
2014-01-07 09:02,Overhead Press,1,6,0,135 lbs x 7 reps,135 lbs,7
2014-01-07 09:02,Weighted Dip,2,1,0,35 lbs x 5 reps,35 lbs,5
2014-01-07 09:02,Weighted Dip,2,2,0,35 lbs x 5 reps,35 lbs,5
2014-01-07 09:02,Weighted Dip,2,3,0,35 lbs x 5 reps,35 lbs,5
2014-01-07 09:02,Weighted Dip,2,4,0,35 lbs x 5 reps,35 lbs,5
2014-01-07 09:02,Chin-Up,3,1,0,5 reps,,5
2014-01-07 09:02,Chin-Up,3,2,0,5 reps,,5
2014-01-07 09:02,Chin-Up,3,3,0,5 reps,,5
2014-01-07 09:02,Chin-Up,3,4,0,5 reps,,5
