Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-12-19 09:43,Deadlift,1,1,0,140 lbs x 5 reps,140 lbs,5
2013-12-19 09:43,Deadlift,1,2,0,170 lbs x 5 reps,170 lbs,5
2013-12-19 09:43,Deadlift,1,3,0,205 lbs x 3 reps,205 lbs,3
2013-12-19 09:43,Deadlift,1,4,0,225 lbs x 5 reps,225 lbs,5
2013-12-19 09:43,Deadlift,1,5,0,255 lbs x 5 reps,255 lbs,5
2013-12-19 09:43,Deadlift,1,6,1,290 lbs x 8 reps,290 lbs,8
2013-12-19 09:43,Bulgarian Split Squat,2,1,0,70 lbs x 5 reps,70 lbs,5
2013-12-19 09:43,Bulgarian Split Squat,2,2,0,70 lbs x 5 reps,70 lbs,5
2013-12-19 09:43,Bulgarian Split Squat,2,3,0,70 lbs x 5 reps,70 lbs,5
2013-12-19 09:43,Bulgarian Split Squat,2,4,1,70 lbs x 5 reps,70 lbs,5
2013-12-19 09:43,Kneeling Ab Roller,3,1,0,5 reps,,5
2013-12-19 09:43,Kneeling Ab Roller,3,2,0,5 reps,,5
2013-12-19 09:43,Kneeling Ab Roller,3,3,0,5 reps,,5
2013-12-19 09:43,Kneeling Ab Roller,3,4,0,5 reps,,5
