Performed At,Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
2013-12-16 10:37,Squat,1,1,0,120 lbs x 5 reps,120 lbs,5
2013-12-16 10:37,Squat,1,2,0,145 lbs x 5 reps,145 lbs,5
2013-12-16 10:37,Squat,1,3,0,175 lbs x 3 reps,175 lbs,3
2013-12-16 10:37,Squat,1,4,0,190 lbs x 5 reps,190 lbs,5
2013-12-16 10:37,Squat,1,5,0,220 lbs x 5 reps,220 lbs,5
2013-12-16 10:37,Squat,1,6,0,250 lbs x 6 reps,250 lbs,6
2013-12-16 10:37,Barbell Lunge,2,1,0,65 lbs x 5 reps,65 lbs,5
2013-12-16 10:37,Barbell Lunge,2,2,0,65 lbs x 5 reps,65 lbs,5
2013-12-16 10:37,Barbell Lunge,2,3,0,65 lbs x 5 reps,65 lbs,5
2013-12-16 10:37,Barbell Lunge,2,4,1,65 lbs x 5 reps,65 lbs,5
2013-12-16 10:37,Romanian Deadlift,3,1,0,120 lbs x 5 reps,120 lbs,5
2013-12-16 10:37,Romanian Deadlift,3,2,0,120 lbs x 5 reps,120 lbs,5
2013-12-16 10:37,Romanian Deadlift,3,3,0,120 lbs x 5 reps,120 lbs,5
2013-12-16 10:37,Romanian Deadlift,3,4,0,120 lbs x 5 reps,120 lbs,5
