Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2013-04-15 10:12,Foam Rolling,1,1,0,10:00,600 sec,,
2013-04-15 10:12,Overhead Press,2,1,0,55 lbs x 5 reps,,55 lbs,5
2013-04-15 10:12,Overhead Press,2,2,0,70 lbs x 5 reps,,70 lbs,5
2013-04-15 10:12,Overhead Press,2,3,0,85 lbs x 5 reps,,85 lbs,5
2013-04-15 10:12,Bench Press,3,1,0,95 lbs x 5 reps,,95 lbs,5
2013-04-15 10:12,Bench Press,3,2,0,95 lbs x 5 reps,,95 lbs,5
2013-04-15 10:12,Bench Press,3,3,0,95 lbs x 5 reps,,95 lbs,5
2013-04-15 10:12,Chin-Up,4,1,0,5 reps,,,5
2013-04-15 10:12,Chin-Up,4,2,0,5 reps,,,5
2013-04-15 10:12,Chin-Up,4,3,0,5 reps,,,5
