Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Reps,Weight
2012-09-23 22:07,Foam Rolling,1,1,0,15:00,900 sec,,
2012-09-23 22:07,Chin-Up,2,1,0,1 reps,,1,
2012-09-23 22:07,Chin-Up,2,2,0,2 reps,,2,
2012-09-23 22:07,Chin-Up,2,3,0,3 reps,,3,
2012-09-23 22:07,Chin-Up,2,4,0,1 reps,,1,
2012-09-23 22:07,Chin-Up,2,5,0,2 reps,,2,
2012-09-23 22:07,Chin-Up,2,6,0,3 reps,,3,
2012-09-23 22:07,Chin-Up,2,7,0,1 reps,,1,
2012-09-23 22:07,Chin-Up,2,8,0,2 reps,,2,
2012-09-23 22:07,Chin-Up,2,9,0,3 reps,,3,
2012-09-23 22:07,Goblet Squat,3,1,0,44 lbs x 5 reps,,5,44 lbs
2012-09-23 22:07,Goblet Squat,3,2,0,44 lbs x 5 reps,,5,44 lbs
