Performed At,Exercise,Exercise#,Set#,IsPR,String,Duration,Weight,Reps
2012-12-05 10:24,Foam Rolling,1,1,0,10:00,600 sec,,
2012-12-05 10:24,Goblet Squat,2,1,0,35 lbs x 10 reps,,35 lbs,10
2012-12-05 10:24,Overhead Press,3,1,0,45 lbs x 5 reps,,45 lbs,5
2012-12-05 10:24,Overhead Press,3,2,0,65 lbs x 5 reps,,65 lbs,5
2012-12-05 10:24,Overhead Press,3,3,0,85 lbs x 3 reps,,85 lbs,3
2012-12-05 10:24,Overhead Press,3,4,0,102.5 lbs x 5 reps,,102.5 lbs,5
2012-12-05 10:24,Overhead Press,3,5,0,102.5 lbs x 5 reps,,102.5 lbs,5
2012-12-05 10:24,Overhead Press,3,6,1,102.5 lbs x 9 reps,,102.5 lbs,9
2012-12-05 10:24,Deadlift,4,1,0,95 lbs x 5 reps,,95 lbs,5
2012-12-05 10:24,Deadlift,4,2,0,135 lbs x 5 reps,,135 lbs,5
2012-12-05 10:24,Deadlift,4,3,0,185 lbs x 5 reps,,185 lbs,5
2012-12-05 10:24,Deadlift,4,4,1,225 lbs x 5 reps,,225 lbs,5
2012-12-05 10:24,Weighted Dip,5,1,0,x 8 reps,,,8
2012-12-05 10:24,Weighted Dip,5,2,0,x 8 reps,,,8
2012-12-05 10:24,Weighted Dip,5,3,0,x 8 reps,,,8
